"","text","sentiment"
"91","Just flew over my Dads hometown flightradar24 DeltaAirlines httpstcoINZKzHtdge","Neutral"
"92","Gotta go to worklaxtojfk fox upfronts pixelsonthemove jetsetter motiongraphics compositingartist httpstcoDchPnzqZKP","Neutral"
"93","RT HeatherLGillman Boarding a Delta flight and was asked to give myself a front wedgie in the security check line wtf cameltoe ifeelf","Neutral"
"94","Boarding a Delta flight and was asked to give myself a front wedgie in the security check line wtf cameltoe ifeelfunny deltaairlines","Neutral"
"95","RT BreSkittyHere AmericanAirlines kicks blind woman and guide dog off planeunitedairlines beats up doctor and kicks off planeDel","Negative"
"96","Delta plans to shrink business class on 777 Boeing777200 Boeing DeltaAirLines httpstcoDOiBcFAEnp","Neutral"
"97","Delta  Skycaps gone from MEM Memphis Other less busy airports have the service bringskycapsback  DeltaAirlines  improveserice","Negative"
"98","While Spirit Airlines continues to be grounded deltaairlines soars No question Deltahasittogether Delta httpstcokxwC8qBAct","Neutral"
"99","So now sky members are reporting problems with missing roll over miles Can this PR nightmare get any worse DeltaAirlines","Very Negative"
"100","RT FakeDeltaAir Support keeps saying all employees are expected to be professional amp courteous Why arent they Time to increase train","Very Positive"
"101","The video turns out be an excellent training tool for agents on how NOT to handle situations Lets hope they get it now DeltaAirlines","Neutral"
"102","Airplane door wont closetheyre getting approval to fly from the the company So safe So much for my connecting flight DeltaAirlines ☹️","Negative"
"103","RT BreSkittyHere AmericanAirlines kicks blind woman and guide dog off planeunitedairlines beats up doctor and kicks off planeDel","Negative"
"104","Airplane door wont fully close we will just have to fly a little slower DeltaAirlines","Very Negative"
"105","DeltaAirlines Get it together Delta Time to follow your own policies and stop making excuses for things you have control overnointegrity","Negative"
"106","Southwest Airlines Brawl In Burbank California pls RT↺❤️ ️️ httpstcorRcUDzGyEd DeltaAirlines southwestairli","Negative"
"107","RT Morningstaruk DeltaAirlines United Thank God that is over with American Airlines Sorry about all that mess Delta THATS OUR CUE","Very Negative"
"108","I wonder if SouthwestAir will charge a fortune after recent events Delta AmericanAir UnitedAirways deltaairlines spiritairlines","Very Positive"
"109","RT RichardGrieco Flying back from NYtired deltaairlines yousuck","Neutral"
"110","Solly Moeng a good crisis comm case study for your lectures DeltaAirlines httpstcoHrIdMHm4wC","Neutral"
"111","DeltaAirlines kudos for great service inside and outside the plane  Took 4 flights recently and everything was perfect  Classy service","Very Positive"
"112","This Delta flight attendant harassed me on flight 1944 Told me to go back to Cuba because of my political affilia httpstcoeVv8h3Cio4","Negative"
"113","I was just harassed and insulted by Delta flight attendant Really uncomfortable and speechless not sure what to do DeltaAirlines","Positive"
"114","httpstcoGeNKRwmuSq DeltaAirlines Shame on you Fire the stewardess","Negative"
"115","If airline industry is going to turn into a REALLY shitty experience  they should cut the high costs to fly united DeltaAirlines spirit","Neutral"
"116","RT jonnytest1414 DeltaAirlines You have lost a life long supporter of your airline Treating that family that way was beyond disgraceful","Very Negative"
"117","Surprised by the amount of liquor flowing on a Wednesday 6am flight DeltaAirlines firstclass screwdriver","Neutral"
"118","RT erikajayne Shes all wrapped up in her blanket on her way to LA DeltaAirlines ��✨ httpstcoauXOriJLFg","Neutral"
"119","DeltaAirLines Pilot punches female passenger  the females scrap it out httpstco8yRrB7skVA httpstcotqhxIPEYvX","Negative"
"120","DeltaAirLines Pilot punches female passenger  the females scrap it out httpstco8yRrB7skVA httpstcouMJDAWTzjC","Negative"
"121","DeltaAirlines really ReallyYou guys need a policy adjustment You wouldnt see this service on Aerlingus httpstcoO5YhOUPuWS","Neutral"
"122","RT TylerHelvin DeltaAirlines we cant possibly dig ourselves into a deeper holeStill Delta hold my beer httpstcouXlLqxFWqh","Neutral"
"123","RT anishbhutani Wow Delta your employee breaking your policy Delta DeltaAirlines httpstcoCEurx0S3ew httpstcoIrk3oMd59s","Neutral"
"124","RT BreSkittyHere AmericanAirlines kicks blind woman and guide dog off planeunitedairlines beats up doctor and kicks off planeDel","Negative"
"125","Flight got delayed 3 hours 4 maintenance ripppppppppppp deltaairlines","Negative"
"126","Flight got delayed 3 hours 4 maintenance ripppppppppppp deltaairlines","Negative"
"127","going on a flight soon better not forget the essentials Flying Airlines SouthwestAirlines UnitedAirlines httpstconQQgi85VY1","Positive"
"128","Delta Thank you for the beautiful amp safe trip there amp back DeltaAirlines lovingDelta Homesafe","Very Positive"
"129","Is it me or airports the new trailer park unitedAIRLINES SouthwestAirlines DeltaAirlines and definitely spiritairlines","Neutral"
"130","DeltaAirlines Great flight from Detroit to Ft Lauderdale Nice crew passengers treated well good job","Very Positive"
"131","767 headed to Atlanta deltaairlines httpstcoHbOSUIgw2a","Neutral"
"132","Delta ~ bar none most disorganized boarding process at the gate deltaairlines","Negative"
"133","deltaairlines here is your own policy in case you forgot I hope that poor family gets substantial compensation httpstcothnrSLF4mL","Negative"
"134","deltaairlines shame on you Officially worse then united","Very Negative"
"135","Well DeltaAirlines or UnitedAirlines is probably hiring right about now Mr Comey Just a thought","Very Positive"
"136","DeltaAirlines blows Just saying","Neutral"
"137","RT PerKerry UnitedAirlines AmericanAirlines SpiritAirlines DeltaAirlinesAirline PR Specialists httpstcoFMUECRl7pC","Neutral"
"138","Throwin it back like its 1985 DFWres SPRINGboost2017 loveDELTA DeltaAirlines BESTemployees amazingcompany httpstcov1sylPdsum","Positive"
"139","DeltaAirlines When cust service reps openly treat you like shit plus all the penny pinching  what do u think th httpstcomxNEDmBo2K","Neutral"
"140","RT PurePolls What do you hate most about air travel ✈ flights spiritairlines flying spirit airlines pilots DeltaAirlines unite","Very Negative"
"141","DeltaAirlines SkyTeam BusinessClass gorgeous dinner on flights MCO Orlando to GRU Sao Paulo httpstco7DBCFFfmUt via youtube","Positive"
"142","So fighting on flights is now a thingDeltaAirlines SouthwestAirlines AmericanAirlines unitedAIRLINES","Neutral"
"143","Delayed flight Delta employee says I just sat down I dont know whats going onthrows hands in air Nice DeltaAirlines MSP ","Negative"
"144","Just saw video of family 1 being an infant get kicked off their overbooked flighteven though they paid Wow DISGUSTING DeltaAirlines","Neutral"
"145","My eyes will be glued to this for the next four hours realbeauty mom2summit DeltaAirlines tmobile httpstcoJP8pl19sfW","Neutral"
"146","Delta dfbarajas DeltaAirlines goal is evidently to make as much money as possible at everyone elses expenseinc httpstconNWj2hHU82","Neutral"
"147","Can I wear my Sparta battle gears onto the plane SpiritAirline Traveling DeltaAirlines UnitedAirlines","Neutral"
"148","RT garrettgreen 2017 protip dont be an airlinespiritairlines unitedairlinesdeltaairlines","Neutral"
"149","RT PerKerry UnitedAirlines AmericanAirlines SpiritAirlines DeltaAirlinesAirline PR Specialists httpstcoFMUECRl7pC","Neutral"
"150","RT sweetsexysavv We payed a fortune for our tickets and have delayed boarding for cleaning just to sit on a filthy plane Thanks Delta","Negative"
"151","Glad Im not flying spiritairlines this week couldhavebeenme DeltaAirlines try to not suck okhttpstcoVuiVKwqNR2","Neutral"
"152","We payed a fortune for our tickets and have delayed boarding for cleaning just to sit on a filthy plane Thanks httpstcoNEHvt4RRKt","Negative"
"153","unitedAIRLINES the bad customer service meme of the day Take that DeltaAirlines Uniteds back in town baby httpstcoRdK4NWJ1eG","Negative"
"154","unitedAIRLINES cant let DeltaAirlines steal its bad service thunder Im pissed I cant attach my Batman slaps httpstcoO06x3ZC1eA","Very Negative"
"155","tinatbh Mostly 10 but it depends on the airline  UnitedAirlinesAssault DeltaAirlines","Neutral"
"156","RT TraceyQuarles Spirit Airlines amp all these damn airlines have me prepping before my flight DeltaAirlines AmericanAirlines httpst","Negative"
"157","Delta Hey Delta I guess no one can help through Twitter �� You should take that option off your site poorcustomerservice DeltaAirlines","Neutral"
"158","deltaairlines flight got delayed amp didnt make it to our connecting Now our grp got split up into 2 amp on different airlines Smh ����","Very Negative"
"159","RT PerKerry UnitedAirlines AmericanAirlines SpiritAirlines DeltaAirlinesAirline PR Specialists httpstcoFMUECRl7pC","Neutral"
"160","UnitedAirlines AmericanAirlines SpiritAirlines DeltaAirlinesAirline PR Specialists httpstcoFMUECRl7pC","Neutral"
"161","If its possible to overbook a playground DeltaAirlines will find a way And then threaten the parents there httpstcoyZlZZM3qIP","Negative"
"162","Delta delayed again As much as I want to believe they can get it right  they continue to miss the mark DeltaAirlines deltadisapoints","Negative"
"163","2017 protip dont be an airlinespiritairlines unitedairlinesdeltaairlines","Neutral"
"164","Abandoned in Brazil by Delta due to their mechanical hours no help just many days of travel to think and hate Delta deltaairlines delta","Neutral"
"165","Delta your hold time for assistance over the phone cannot actually be 1 HOUR AND 4 MINUTES �� whatiswiththeseairlines DeltaAirlines","Neutral"
"166","Delta you da best��DeltaAirlines johnaron thelifeofjohnaron httpstcoIIH9IeWasC","Neutral"
"167","RT PurePolls What do you hate most about air travel ✈ flights spiritairlines flying spirit airlines pilots DeltaAirlines unite","Very Negative"
"168","Flight attendants just revived a man on my flight DeltaAirlines rocks","Neutral"
"169","RT sojoelboy Family kicked off plane wo breaking FAADeltaAirlines regulations Disappointing how it was handled by Deltahttpstco","Very Negative"
"170","RT sleek429 The DeltaAirlines flight attendant should be fired for threatening that couple with jail time and that their kids would be i","Negative"
"171","Woohoo well be able to get through security lines faster this summer Now get back to work on fixing Customer Care DeltaAirlines","Positive"
"172"," And we wonder why bullying has become rampant deltaairlines UnitedAirlines q httpstcoKUmg7oakR7","Negative"
"173","So DeltaAirlines Delta thinks its funny to make jokes about their customers misfortunes noclass httpstcojPwU9dnM8P","Negative"
"174","I found a new friend He has invited me and a friend to LondonPDXtoLondonContestDelta deltaairlines httpstcoD7X58Ue1nr","Neutral"
"175","I found a new friend He has invited me and a friend to LondonPDXtoLondonContestDelta deltaairlines httpstcoXMzdAe7vpx","Neutral"
"176","RT PurePolls What do you hate most about air travel ✈ flights spiritairlines flying spirit airlines pilots DeltaAirlines unite","Very Negative"
"177","RT PurePolls What do you hate most about air travel ✈ flights spiritairlines flying spirit airlines pilots DeltaAirlines unite","Very Negative"
"178","Ppl Travelling anywhere this yearMe looks at shite w DeltaAirlines UnitedAirlines spiritairlines Me httpstcom7yNQdzVnn","Neutral"
"179","RT PurePolls What do you hate most about air travel ✈ flights spiritairlines flying spirit airlines pilots DeltaAirlines unite","Very Negative"
"180","RT PurePolls What do you hate most about air travel ✈ flights spiritairlines flying spirit airlines pilots DeltaAirlines unite","Very Negative"
"181","RT PurePolls What do you hate most about air travel ✈ flights spiritairlines flying spirit airlines pilots DeltaAirlines unite","Very Negative"
"182","DeltaAirlines you should be ashamed for kicking those people off that flight But people cant boycott you theres only four airlines","Very Negative"
"183","RT PurePolls What do you hate most about air travel ✈ flights spiritairlines flying spirit airlines pilots DeltaAirlines unite","Very Negative"
"184","RT PurePolls What do you hate most about air travel ✈ flights spiritairlines flying spirit airlines pilots DeltaAirlines unite","Very Negative"
"185","What do you hate most about air travel ✈ flights spiritairlines flying spirit airlines pilots DeltaAirlines unitedAIRLINES riot","Very Negative"
"186","Whats going on with the Airlines first UnitedAirlines then deltaairlines now Spirit Airlines Im taking the F÷CKIN Bus","Neutral"
"187","How it must feel to be the marketingpr team at SouthwestAir lately DeltaAirlines UnitedAirlines httpstcosZyEblC4VW","Neutral"
"188","CNN nice idea next it should be unitedairline AmericanAirlines deltaairlines","Positive"
"189","DeltaAirlines dont expect any service from call centers that are not staffed and then call back from offshore  NOT customer focused  all","Neutral"
"190","DeltaAirlines Flight DL2606 to Chicago ORD  133","Neutral"
"191","Airlines are why America needs high speed rail more than ever unitedAIRLINES spiritairlines DeltaAirlines deltaistheworstairline","Very Negative"
"192","Based on our misguided agents behavior latelyextra miles for all would not have been a bad ideabut no we couldnt do that DeltaAirlines","Negative"
"193","Whats going on with all these commercial airlines unitedAIRLINES spiritairlines DeltaAirlines","Neutral"
"194","Its a bad time for airlines when going Greyhound seems like the more refined choice  spiritairlines UnitedAirlines deltaairlines","Positive"
"195","Bad PR nightmare cont We accidentally give extra miles 2 sky members amp then take them offShould have left them as gift DeltaAirlines","Very Negative"
"196","RT BreSkittyHere AmericanAirlines kicks blind woman and guide dog off planeunitedairlines beats up doctor and kicks off planeDel","Negative"
"197","New requirements for airline hiring  spiritairlines AmericanAir AmericanAirlines UnitedAirlines httpstcoM5N6nUok3U","Neutral"
"198","POLL QUESTION  ✈️ ✈️✈️✈️Which airline had the worst month UnitedAirlines DeltaAirlines Spiritairlines","Negative"
"199","What is going on with these airline companies in 2017 They are Being RECKLESS ���� DeltaAirlines unitedAIRLINES spiritairlines","Negative"
"200","deltaairlines you should be ashamed for what you did to that young family Hope the lawsuit hurtsa lot","Negative"
"201","RT BeingFarhad DeltaAirlines Delta is disgusting as united amp AmericanAir  Kicks off an infant amp family for overbooked flight WorstA","Negative"
"202","A little more from the fucking clueless airlines industry spiritairlines DeltaAirlines unitedAIRLINES httpstco388FfWirXo","Very Negative"
"203","Why is our CS Phone support taking so long to respond to calls This is not acceptable Leadership step up We apologize DeltaAirlines","Neutral"
"204","Spirit Airlines  Wow DeltaAirlines unitedAIRLINES Who said the Friendly Skies TWA  Movies Juan Im not selling TWA Kate Kate ����","Neutral"
"205","This is BS DeltaAirlines worse notfamilyfriendly httpstco6szu4Pls7q","Very Negative"
"206","WRAL Delta DeltaAirlines planned 15th year anniversary and Delta made my wife crylost luggage and we still had to fly jetblue  sad","Negative"
"207","Delta DeltaAirlines I guess customer service is not your priority JetBlue JetBlue did a better job to help save our 15th anniversary","Neutral"
"208","Delta DeltaAirlines DeltaAssist failure I was just told eventhough Delta screwed up I have to eat the 3000 because things happen","Very Negative"
"209","spiritairlines is awful to begin with  Now passengers brawl over cancellationsDeltaAirlines is the best","Neutral"
"210","Is our CEO insane You dont expand your reach until customer care is fixed and our misguided agents are retrained DeltaAirlines","Very Negative"
"211","Wrong CEO wrong Airlines DeltaAirlines UnitedAirlines httpstcobpSE6VUHSA","Very Negative"
"212","DeltaAirlines Flight DL0616 to MSP  1133","Neutral"
"213","UAL  Watch me be the worst airline everdeltaairlines  Here hold my beerspiritairlines  Amateurs Let me sh httpstcoRYTmzKbE50","Negative"
"214","Be prepared flyLAXairport is expected to be crazy this week as overhaul continues httpstcotDairC2ko0 httpstcof6cGQ1wW5J","Negative"
"215","RT stephenWalt Why cant airlines provide accurate info on delays even when the news is bad DeltaAirlines","Negative"
"216","RT stephenWalt Why cant airlines provide accurate info on delays even when the news is bad DeltaAirlines","Negative"
"217","I just arrived DeltaAirlines only FirstClass only hell I need a private flight one of these times httpstcoIdO3xdc3tU","Negative"
"218","First UnitedAirlines then DeltaAirlines now SpiritAirlines Cmon SouthwestAirlines keep it togetherI have flyer credit with you guys","Neutral"
"219","RT ambrialee United   DeltaAirlines United amp again United now SpiritAirlines  liberals  trying to stop flights  httpstc","Neutral"
"220","RT TraceyQuarles Spirit Airlines amp all these damn airlines have me prepping before my flight DeltaAirlines AmericanAirlines httpst","Negative"
"221","RT TraceyQuarles Spirit Airlines amp all these damn airlines have me prepping before my flight DeltaAirlines AmericanAirlines httpst","Negative"
"222","RT dben1971 Me take my $$  deltaairlines  no no our shareholders want us to suk and not make profit whaaaaaa wtf","Neutral"
"223","Looks good taste like shit DeltaAirlines need better food in first class httpstcoX34GhiS9UO","Very Positive"
"224","RT dben1971 Me take my $$  deltaairlines  no no our shareholders want us to suk and not make profit whaaaaaa wtf","Neutral"
"225","Me take my $$  deltaairlines  no no our shareholders want us to suk and not make profit whaaaaaa wtf","Neutral"
"226","deltaairlines Im trying to give you my $$ for an upgrade and you wont take it  How do your shareholders like this biz practice","Positive"
"227","RT emthepenguin Way to go deltaairlines Kicking people off because they spoke a different language to yougrow the fuck up","Very Negative"
"228","deltaairlines you suk just tried to pay to upgrade my wife from midway to stl why wont u take my $$ badservice  badbusiness","Neutral"
"229","United   DeltaAirlines United amp again United now SpiritAirlines  liberals  trying to stop flights  httpstcocUzuOCyyDo","Neutral"
"230","She was super nervous firstflight deltaairlines  Delta Terminal  HartsfieldJackson Atlanta httpstcop6FAhG7nIK","Neutral"
"231","RT BreSkittyHere AmericanAirlines kicks blind woman and guide dog off planeunitedairlines beats up doctor and kicks off planeDel","Negative"
"232","RT TraceyQuarles Spirit Airlines amp all these damn airlines have me prepping before my flight DeltaAirlines AmericanAirlines httpst","Negative"
"233","RT TraceyQuarles Spirit Airlines amp all these damn airlines have me prepping before my flight DeltaAirlines AmericanAirlines httpst","Negative"
"234","Spirit Airlines amp all these damn airlines have me prepping before my flight DeltaAirlines AmericanAirlines httpstcocp238H4FCN","Negative"
"235","RT stephenWalt Why cant airlines provide accurate info on delays even when the news is bad DeltaAirlines","Negative"
"236","RT mattvest21 New podcast is up httpstcoF2EX7YwkQW churchlife nerdlife SocialMedia TRUMP Religiousliberty deltaairlines mat","Neutral"
"237","Its one PR nightmare after another Leadership needs to step up and fast This is a disaster DeltaAirlines keepclimbing","Very Negative"
"238","RT MortyFied delta threw these two unruly passengers off a red eye httpstcopSnLzbdJqu DeltaAirlines UnitedAirlines httpstc","Negative"
"239","New podcast is up httpstcoF2EX7YwkQW churchlife nerdlife SocialMedia TRUMP Religiousliberty httpstcoeURW0CVuJ4","Neutral"
"240","RT sojoelboy Family kicked off plane wo breaking FAADeltaAirlines regulations Disappointing how it was handled by Deltahttpstco","Very Negative"
